Search Engine,Title,Number,Country,Priority Date,Year,Still Valid?,Operating Range,Sustainable Materials,Process / Product,Cited Count,Relevance
LENS,Tag assembly methods, US 10282654 B2,United States,09/07/2017,2017,YES,"UHF, HF",Carbon-based Materials,Substrate,1,1
LENS,Manufacturing method of RFID antenna paper base based on recycled paper and RFID electronic tag,CN 112381201 A,China,23/11/2020,2020,YES,Generic RFID,Carbon-based Materials,Substrate,0,1
LENS,RFID (Radio Frequency Identification Device) label with completely naturally degradable substrate,CN 209015200 U,China,16/11/2018,2018,YES,Generic RFID,Bioplastics,Substrate,1,1
LENS,Environment-friendly double-frequency RFID tag,CN 216901694 U,China ,16/03/2022,2022,YES,"UHF, HF",Carbon-based Materials,Substrate,0,1
LENS,Linerless Packing and Shipping Label System  ,US 2011/0061802 A1,United States,18/12/2008,2008,YES,NA,NA,Linerless,40,1
LENS,Filtering Systems for Recycling Rfid Tags and Methods of Using Thereof,US 2023/0054777 A1,United States,28/12/2019,2019,PENDING,Generic RFID,NA,Recycling,0,1
LENS,Biodegradable device and mesh network for optimization of payload material delivery,US 8558695 B2,United States,05/11/2010,2010,YES,Generic RFID,"Natural Polymers, Bioplastics",Substrate,1,1
LENS,Printed radio frequency sensor structure and a method of preparing a RFID sensor tag,US 9639800 B2,United States,12/08/2015,2015,YES,Generic RFID,Carbon-based Materials,Antenna ,1,1
LENS,Linerless packing and shipping label system with folded under packing list,US 9789990 B2,United States,20/11/2012,2012,YES,NA,NA,Linerless,1,1
LENS,Label and method of manufacturing the same from recycled material,US 9940853 B2,United States,14/12/2009,2009,NO,Generic RFID,NA,Recycling,0,1
LENS,NOVEL PASSIVE ULTRAHIGH FREQUENCY RADIO FREQUENCY WASHING LABEL,"
CN 216647386 U",China,31/05/2022,2022,PENDING,UHF,Carbon-based Materials,Substrate,0,2
LENS,Biodegradable electronic material for printed electronic technology,CN 111574885 A,China,19/05/2020,2020,YES,Generic RFID,Bioplastics,Substrate,2,2
LENS,Preparation method of environment-friendly die-cut laser-engraved RFID antenna with anti-counterfeiting function,CN 113258257 A,China  ,24/05/2021,2021,PENDING,Generic RFID,Carbon-based Materials,Substrate,0,2
LENS,Novel environment-friendly passive wireless radio frequency electronic tag,CN 113554143 A,United States,23/08/2021,2021,YES,HF,Carbon-based Materials,Substrate,0,2
LENS,"Linerless Washable Label, Apparatus and Method for Preparing a Label",EP 3105054 B1,European Patent Office,10/02/2014,2014,YES,NA,NA,Linerless,0,2
LENS,On-metal eco-friendly UHF RFID tag,GB2615786A,United Kingdom ,18/02/2022,2022,YES,"UHF, HF",Carbon-based Materials,Substrate,0,2
LENS,Biodegradable radio frequency identification cards,US 7492326 B1,United States,02/06/2003,2003,NO,Generic RFID,Bioplastics,Substrate,21,2
LENS,Linerless Labels,WO 2023/026017 A1,International,23/08/2021,2021,PENDING,NA,NA,Linerless,0,2
LENS,Apparatus and Method for Manufacturing a Linerless Label and Linerless Label,WO 2023/161268 A1,International,24/02/2022,2022,PENDING,NA,NA,Linerless,0,2
LENS,Recyclable Labels,WO 2023/192600 A1,International,01/04/2022,2022,PENDING,Generic RFID,NA,Recycling,0,2
LENS,Carbon-Based Antennas, EP 3789918 A1,European Patent Office,06/09/2019,2019,PENDING,UHF ,Carbon-based Materials,Antenna ,0,3
LENS,Process for obtaining self-adhesive tape for labels or similar without support and protection tape,BR PI0902205 A2,Brazil,15/06/2009,2009,YES,NA,NA,Linerless,10,3
LENS,Transfer-prevention and adhesive-residue-free electronic tag of RFID (radio frequency identification device) as well as preparation method of electronic tag,CN 103824109 A,China,12/03/2014,2014,YES,Generic RFID,NA,Linerless,10,3
LENS,Preparation method of graphene-based RFID antenna,CN 111860739 A,China,17/07/2020,2020,PENDING,Generic RFID,Carbon-based Materials,Antenna ,0,3
LENS,Merchandise Tags Incorporating a Durable Antenna,EP 3146475 B1,European Patent Office,23/05/2014,2014,YES,Generic RFID,Carbon-based Materials,"Substrate, Antenna",0,3
LENS,IN-line production of linerless labels,US11735070 B2,United States,20/02/2017,2017,YES,NA,NA,Linerless,0,3
LENS,Radio Frequency Identification Tags and Labels,WO 2001/018749 A2,International,10/09/1999,1999,YES,Generic RFID,NA,Linerless,4,3
LENS,Chipless Rfid Printing Methods,WO 2019/027437 A1,International,01/08/2017,2017,YES,Generic RFID,NA,Antenna ,0,3
LENS,"Graphene-Based High-Conductivity Ink for Rfid Electronic Tag, and Preparation Method Therefor and Application Thereof",WO 2022/120571 A1,International,08/12/2020,2020,YES,Generic RFID,Carbon-based Materials,Antenna ,0,3
LENS,Linerless Self-Adhesive Material With Wash-Off Properties,WO 2022/149043 A1,International,07/01/2021,2021,PENDING,NA,NA,Linerless,0,3
LENS,"Rfid Label, Rfid Recording Medium, and Method for Manufacturing Rfid Label",WO 2022/163112 A1,International,29/01/2021,2021,PENDING,Generic RFID,Carbon-based Materials,Substrate,0,3
LENS,"Method for Manufacturing a Product Mainly Made of Paper Including, Therein, at Least One Radio-Frequency Electromagnetic Wave Transceiver",WO 2022/229990 A1,International,30/04/2021,2021,YES,Generic RFID,Carbon-based Materials,Substrate,0,3
LENS,Linerless label,US 11783730 B2,United States,30/12/2020,2020,YES,NA,NA,Linerless,0,4
JUSTIA,In-line production of linerless labels,US 2020/0402427 A1,United States,20/02/2017,2017,YES,NA,NA,Linerless,0,4
LENS,Manufacturing Process of Self-Adhesive Security Label Without Backing and Protection Tape and Self-Adhesive Security Label Without Backing and Protection Tape,BR 102017002787 A8,Brazil,10/02/2017,2017,YES,NA,NA,Linerless,0,5
LENS,Method for Producing a Conductive Pattern on a Substrate,WO 2021/124201 A1,International,20/12/2019,2019,PENDING,Generic RFID,Carbon-based Materials,Substrate,0,5
LENS,"Method of manufacturing conductive ink composition, antenna structure, and antenna for RFID tag",GB 2533782 A,United Kingdom ,29/12/2014,2014,NO,Generic RFID,Carbon-based Materials,Antenna ,2,3
LENS,RFID  ,GB 2613548 A,United Kingdom ,03/12/2021,2021,YES,Generic RFID,Carbon-based Materials,Antenna ,0,3
LENS,Manufactory Apparatus of Label Sheet Without Release Paper,KR 20230102984 A,Korea,30/12/2021,2021,NO,NA,NA,Linerless,0,4
LENS,"Method for obtaining self-adhesive booklet-label tape, without backing and protection tape",US 10071570 B2,United States,05/11/2014,2014,YES,NA,NA,Linerless,0,4
LENS,Adhesive patch with voids,US 10783807 B2,United States,30/10/2015,2015,YES,NA,NA,Linerless,2,4
LENS,Radio-frequency identification (RFID) label or conductive trace thermal transfer printing method,US 10813225 B2,United States,15/02/2019,2019,YES,Generic RFID,Carbon-based Materials,Substrate,0,2
LENS,Paper based electronics platform,US 10845213 B2,United States,14/01/2016,2016,YES,Generic RFID,Carbon-based Materials,Substrate,1,1
LENS,Consumable product and method of providing the same,US 11113484 B2,United States,05/02/2019,2019,YES,HF,NA,Substrate,0,0
LENS,Miniaturized electronic systems with wireless power and near-field communication capabilities,US 11118965 B2,United States,01/06/2015,2015,YES,HF,Natural Polymers,Substrate,0,2
LENS,Biodegradable parameter monitor,US 11187689 B2,United States,20/10/2015,2015,YES,Generic RFID,Natural Polymers,Substrate,0,1
LENS,Linerless label and method for preparing a label,US 11624005 B2,United States,10/02/2014,2014,YES,NA,NA,Linerless,0,4
LENS,Subsoil moisture monitoring system including battery-less wireless chipless sensors,US 11635402 B2,United States,26/10/2020,2020,YES,Generic RFID,Bioplastics,Substrate,0,0
LENS,Methods of making paper and labels,US 11760118 B2,United States,23/03/2012,2012,YES,NA,NA,Linerless,0,4
LENS,Biodegradable Materials for Multilayer Transient Printed Circuit Boards,US 2016/0050750 A1,United States,12/04/2013,2013,YES,HF,Bioplastics,Substrate,58,3
LENS,Linerless Self-Adhesive Material,US 2016/0257860 A1,United States,28/06/2013,2013,YES,NA,NA,Linerless,2,5
LENS,"Rfid Tag Substrate Using Paper Substrate, and Rfid Tag",US 2017/0132505 A1,United States,09/07/2014,2014,NO,Generic RFID,Carbon-based Materials,Substrate,0,3
LENS,"Multi-Functional, Intelligent and Eco-Friendly Tape",US 2018/0350274 A1,United States,30/05/2017,2017,NO,Generic RFID,Carbon-based Materials,Substrate,1,2
LENS,Printed Rfid Sensor Tag,US 2019/0164030 A1,United States,30/11/2017,2017,YES,Generic RFID,Carbon-based Materials,Antenna ,3,3
LENS,System and Method for Radio Frequency Identification Tag Reuse,US 2020/0119428 A1,United States,16/10/2018,2018,YES,Generic RFID,NA,Recycling,0,2
LENS,Recyclable Rfid Transponder Components and Production Methods for Same,US 2020/0160137 A1,United States,15/11/2018,2018,YES,Generic RFID,Natural Polymers,Substrate,1,3
LENS,Wireless Communication Device,US 2021/0125017 A1,United States,09/08/2018,2018,YES,UHF,Carbon-based Materials,Antenna ,1,3
LENS,Flexible Printed Articles,US 2022/0007515 A1,United States,29/08/2019,2019,PENDING,Generic RFID,Carbon-based Materials,Substrate,1,3
LENS,Apparatus and Method for the Provision of Labels,US 2022/0315265 A1,United States,23/08/2019,2019,YES,NA,NA,Linerless,0,4
LENS,"A linerless label product, manufacturing a linerless label product and use of a linerless label product for delivery of orders",US 2023/0108262 A1,United States,27/03/2020,2020,YES,NA,NA,Linerless,0,5
LENS,Carbon-based conducting inks,US 2023/0142469 A1,United States,05/03/2020,2020,PENDING,Generic RFID,Carbon-based Materials,"Substrate, Antenna",0,2
LENS,Linerless Film Stack,US 2023/0348756 A1,United States,14/10/2020,2020,PENDING,NA,NA,Linerless,0,4
LENS,Linerless label identification,US 5782496 A,United States,03/11/1995,1995,NO,NA,NA,Linerless,113,4
LENS,Radio frequency identification tags and labels,US 6147662 A,United States,10/09/1999,1999,NO,Generic RFID,NA,Linerless,356,4
LENS,RFID manufacturing concepts,US 6451154 B1,United States,18/02/2000,2000,NO,Generic RFID,NA,Linerless,322,1
LENS,A Biodegradable Circuit Board,WO 2013/144420 A1,International ,29/03/2012,2012,PENDING,Generic RFID,Bioplastics,Substrate,10,3
LENS,A Uhf Rfid Tag,WO 2020/261168 A1,International,26/06/2019,2019,PENDING,UHF,Carbon-based Materials,Substrate,0,3
LENS,Rfid Label,WO 2021/090189 A1,International,08/11/2019,2019,YES,Generic RFID,Carbon-based Materials,Substrate,0,3
LENS,Inks and Labels to Facilitate Recycling,WO 2021/092478 A1,International,08/11/2019,2019,PENDING,NA,NA,Recycling,1,4
